Date/Time	T2 [°C]	TdTdTd [°C]	RH [%]	ff day m [m/s]	ff max [m/s]	Precip [mm/day]
2007-06-17	11.8					
2007-06-18	9.8					
2007-06-19	9.1					
2007-06-20	6.7					
2007-06-21	6.3					
2007-06-22	6.7					
2007-06-23	8.9					
2007-06-24	11.5					
2007-06-25	10.1					
2007-06-26	6.5					
2007-06-27	9.3					
2007-06-28	12.0					
2007-06-29	12.2					
2007-06-30	7.4					
2007-07-01	5.9					
2007-07-02	6.2					
2007-07-03	7.6					
2007-07-04	9.4					
2007-07-05	12.6					
2007-07-06	14.5					
2007-07-07	11.5					
2007-07-08	6.1					
2007-07-09	6.9					
2007-07-10	7.5					
2007-07-11	12.2					
2007-07-12	14.5					
2007-07-13	14.9					
2007-07-14	13.6					
2007-07-15	8.5					
2007-07-16	5.0					
2007-07-17	6.3					
2007-07-18	8.8					
2007-07-19	9.5					
2007-07-20	11.5					
2007-07-21	12.6					
2007-07-22	12.2					
2007-07-23	11.7					
2007-07-24	12.6					
2007-07-25	13.4					
2007-07-26	16.8					
2007-07-27	13.5					
2007-07-28	11.8					
2007-07-29	11.5					
2007-07-30	12.3					
2007-07-31	15.5					
2007-08-01	14.7					
2007-08-02	14.0					
2007-08-03	10.5					
2007-08-04	10.8					
2007-08-05	12.1					
2007-08-06	13.4					
2007-08-07	15.3					
2007-08-08	14.3					
2007-08-09	13.1					
2007-08-10	11.7					
2007-08-11	13.5					
2007-08-12	13.8					
2007-08-13	16.1					
2007-08-14	12.4					
2007-08-15	13.1					
2007-08-16	11.9					
2007-08-17	9.2					
2007-08-18	7.9					
2007-08-19	8.9					
2007-08-20	10.2					
2007-08-21	11.0					
2007-08-22	11.3					
2007-08-23	9.3					
2007-08-24	8.4					
2007-08-25	9.6					
2007-08-26	11.4					
2007-08-27	9.3					
2007-08-28	8.5					
2007-08-29	9.0					
2007-08-30	9.1					
2007-08-31	10.8					
2007-09-01	10.7					
2007-09-02	12.4					
2007-09-03	13.5					
2007-09-04	13.8					
2007-09-05	14.1					
2007-09-06	12.4					
2007-09-07	13.3					
2007-09-08	15.1					
2007-09-09	11.9					
2007-09-10	8.8					
2007-09-11	8.7					
2007-09-12	10.6					
2007-09-13	11.2					
2007-09-14	7.1					
2008-06-12	6.2					3.0
2008-06-13	6.0					1.0
2008-06-14	7.1					0.0
2008-06-15	7.8					0.0
2008-06-16	8.7					0.0
2008-06-17	8.0					0.0
2008-06-18	7.1					11.0
2008-06-19	7.2					0.0
2008-06-20	8.5					0.0
2008-06-21	8.3					0.0
2008-06-22	6.7					3.0
2008-06-23	6.5					0.0
2008-06-24	6.5					0.0
2008-06-25	8.3					0.0
2008-06-26	10.2					0.0
2008-06-27	11.0					0.0
2008-06-28	11.7					0.0
2008-06-29	10.3					0.0
2008-06-30	8.7					4.0
2008-07-01	6.0					5.0
2008-07-02	6.9					0.0
2008-07-03	6.2					12.0
2008-07-04	5.1					1.0
2008-07-05	9.0					0.0
2008-07-06	11.3					0.0
2008-07-07	8.6					0.0
2008-07-08	6.7					1.0
2008-07-09	8.6					0.0
2008-07-10	10.9					0.0
2008-07-11	11.6					0.0
2008-07-12	12.2					0.0
2008-07-13	10.8					3.0
2008-07-14	12.1					0.0
2008-07-15	7.6					42.0
2008-07-16	9.3					0.0
2008-07-17	12.3					0.0
2008-07-18	8.8					87.0
2008-07-19	12.4					0.0
2008-07-20	13.5					0.0
2008-07-21	13.3					0.0
2008-07-22	13.6					0.0
2008-07-23	12.0					3.0
2008-07-24	14.8					0.0
2008-07-25	15.3					0.0
2008-07-26	15.3					11.0
2008-07-27	13.8					4.0
2008-07-28	11.6					0.0
2008-07-29	11.0					11.0
2008-07-30	9.9					49.0
2008-07-31	8.9					7.0
2008-08-01	11.4					4.0
2008-08-02	9.7					0.0
2008-08-03	10.6					2.0
2008-08-04	12.6					0.0
2008-08-05	10.5					15.0
2008-08-06						0.0
2008-08-07						0.0
2008-08-08	9.4					0.0
2008-08-09	9.6					0.0
2008-08-10	12.3					13.0
2008-08-11						0.0
2008-08-12						0.0
2008-08-13						6.0
2008-08-14						0.0
2008-08-15						0.0
2008-08-16						0.0
2008-08-17						8.0
2008-08-18						0.0
2008-08-19						0.0
2008-08-20	13.7					14.0
2008-08-21	10.6					0.0
2008-08-22	10.3					0.0
2008-08-23	11.2					0.0
2008-08-24	13.1					0.0
2008-08-25	13.1					0.0
2008-08-26	12.3					0.0
2008-08-27	13.2					0.0
2008-08-28	11.0					0.0
2008-08-29						0.0
2008-08-30						0.0
2008-08-31						12.0
2008-09-01						0.0
2008-09-02						0.0
2008-09-03						0.0
2008-09-04						5.0
2008-09-05						0.0
2008-09-06						0.0
2008-09-07						0.0
2008-09-08						0.0
2008-09-09						0.0
2008-09-10						24.0
2008-09-11						0.0
2008-09-12						0.0
2008-09-13						0.0
2008-09-14						0.0
2008-09-15						0.0
2008-09-16						0.0
2008-09-17						0.0
2008-09-18						64.0
2008-09-19						0.0
2008-09-20						0.0
2009-06-26	11.6					
2009-06-27	10.0					
2009-06-28	7.4					
2009-06-29	10.4					
2009-06-30	11.3					
2009-07-01	7.4	7.4	84.5	0.1	1.2	
2009-07-02	8.7	8.6	75.3	0.9	2.4	
2009-07-03	8.2	8.1	73.0	1.4	2.9	
2009-07-04	8.0	7.9	71.0	1.8	3.6	
2009-07-05	8.4	8.4	64.6	2.3	4.5	
2009-07-06	8.2	8.1	67.9	1.5	3.3	
2009-07-07	9.6	9.5	72.1	0.8	2.4	
2009-07-08	11.4	11.3	60.3	1.4	2.8	
2009-07-09	10.3	10.2	63.4	2.1	3.6	
2009-07-10	9.5	9.5	69.6	0.9	2.2	
2009-07-11	10.7	10.6	65.1	1.4	3.1	
2009-07-12	13.3	13.2	45.4	2.4	4.5	
2009-07-13	14.8	14.6	48.8	2.8	4.7	
2009-07-14	10.6	10.6	82.4	1.5	3.6	
2009-07-15	10.0	10.0	79.9	0.9	2.3	
2009-07-16	8.5	8.5	83.3	0.4	1.5	
2009-07-17	12.6	12.5	56.9	2.9	5.4	
2009-07-18	12.4	12.3	57.5	2.3	4.1	
2009-07-19	11.7	11.6	65.0	2.2	3.9	
2009-07-20	10.8	10.7	71.6	1.0	2.4	
2009-07-21	10.4	10.4	71.5	0.9	2.3	
2009-07-22	9.4	9.3	79.6	0.7	1.9	
2009-07-23	9.9	9.8	75.2	0.7	2.0	
2009-07-24	9.4	9.3	76.1	0.7	2.0	
2009-07-25	9.3	9.2	73.3	0.6	1.7	
2009-07-26	9.3	9.2	71.2	0.5	1.6	
2009-07-27	10.9	10.8	68.3	1.0	2.4	
2009-07-28	8.4					
2009-07-29	8.5					
2009-07-30	8.7					
2009-07-31	8.9					
2009-08-01	8.9					
2009-08-02	8.7					
2009-08-03	8.4					
2009-08-04	10.9					
2009-08-05	9.2					
2009-08-06	7.4					
2009-08-07	7.4					
2009-08-08	9.0					
2009-08-09	9.7					
2009-08-10	8.4					
2009-08-11	6.3					
2009-08-12	8.1					
2009-08-13	7.6					
2009-08-14	9.7	9.6	63.9	0.7	2.2	
2009-08-15	10.3	10.2	60.3	1.7	3.4	
2009-08-16	9.2	9.1	74.3	0.7	1.9	
2009-08-17	9.7	9.6	74.3	2.0	4.5	
2009-08-18	11.1	11.0	62.2	1.3	2.9	
2009-08-19	10.0	9.9	70.0	1.8	3.7	
2009-08-20	9.2	9.1	70.4	1.1	3.2	
2009-08-21	6.4	6.4	56.3	3.6	6.7	
2009-08-22	3.6	3.5	48.8	4.7	8.1	
2009-08-23	3.5	3.4	52.5	2.9	5.8	
2009-08-24	7.2	7.1	53.7	0.7	2.0	
2009-08-25	11.2	11.1	39.8	1.7	3.6	
2009-08-26	8.1	8.0	73.5	0.6	2.3	
2009-08-27	6.0	6.0	77.5	0.6	2.4	
2009-08-28	6.6	6.5	62.5	0.7	2.7	
2009-08-29	8.6	8.5	59.0	1.0	3.2	
2009-08-30	8.5	8.4	66.9	0.5	2.4	
2009-08-31	8.7	8.7	70.5	0.5	2.1	
2009-09-01	9.0	8.9	67.3	1.0	2.7	
2009-09-02	8.9	8.8	67.2	2.8	5.0	
2009-09-03	8.9	8.8	63.0	2.6	4.8	
2009-09-04	11.2	11.1	50.4	3.7	6.4	
2009-09-05	9.1	9.0	61.9	2.9	5.3	
2009-09-06	7.3	7.2	68.4	1.9	4.1	
2009-09-07	7.5	7.4	76.1	0.5	2.0	
2009-09-08	9.1	9.0	65.9	1.6	3.7	
2009-09-09	10.0	9.9	51.6	0.9	2.4	
2009-09-10	8.4	8.4	69.6	1.4	3.4	
2009-09-11	6.2	6.2	81.1	0.5	2.3	
2009-09-12	8.1					
2009-09-13	7.6					
2009-09-14	7.5					
2009-09-15	7.3					
2009-09-16	4.9					
2009-09-17	3.0					
2009-09-18	4.0					
2009-09-19	5.1					
2009-09-20	2.8					
2009-09-21	3.1					
2009-09-22	3.2					
2009-09-23	1.8					
2009-09-24	2.9					
2009-09-25	4.2					
2009-09-26	4.2					
2009-09-27	-2.2					
2009-09-28	-4.6					
2009-09-29	-1.2					
2009-09-30	0.7					
2009-10-01	1.1					
2009-10-02	1.8					
2009-10-03	5.3					
2009-10-04	6.7					0.0
2013-06-08						2.0
2013-06-09						1.7
2013-06-10						6.0
2013-06-11						9.3
2013-06-12						0.0
2013-06-13						0.0
2013-06-14						4.6
2013-06-15						0.0
2013-06-16						10.5
2013-06-17						1.9
2013-06-18						4.6
2013-06-19						7.5
2013-06-20						6.3
2013-06-21						2.7
2013-06-22						0.0
2013-06-23						0.0
2013-06-24						0.0
2013-06-25						0.2
2013-06-26						0.1
2013-06-27						0.0
2013-06-28						0.0
2013-06-29						1.5
2013-06-30						0.0
2013-07-01						0.0
