Date/Time	T2 [°C]	TdTdTd [°C]	RH [%]	ff day m [m/s]	ff max [m/s]
2017-06-19	2.9	2.8	79.8	3.1	8.1
2017-06-20	2.1	1.9	82.3	2.5	7.3
2017-06-21	2.2	1.9	82.4	1.2	6.1
2017-06-22	6.1	6.0	80.4	0.7	2.1
2017-06-23	6.7	6.5	70.8	2.3	4.8
2017-06-24	3.6	3.4	72.5	2.8	7.6
2017-06-25	2.5	2.4	82.5	4.1	7.9
2017-06-26	6.0	5.8	68.8	5.3	9.4
2017-06-27	8.7	8.4	57.9	3.9	7.1
2017-06-30	4.8	4.6	78.6	1.1	3.6
2017-07-01	6.3	6.0	73.3	2.9	4.6
2017-07-02	6.0	5.7	64.8	3.8	6.1
2017-07-03	4.0	3.9	86.3	1.1	2.3
2017-07-04	6.3	6.0	73.3	2.9	4.6
2017-07-05	7.4	7.1	63.2	4.8	7.0
2017-07-06	10.9	10.7	36.3	5.1	9.4
2017-07-07	10.3	10.0	58.2	3.3	7.0
2017-07-08	6.3	6.1	81.3	3.4	8.6
2017-07-09	5.8	5.6	72.6	2.8	7.1
2017-07-10	3.3	3.1	82.9	2.8	6.5
2017-07-11	1.7	1.6	79.9	4.6	9.9
2017-07-12	3.8	3.6	75.5	4.5	11.1
2017-07-15	4.4	4.3	74.7	2.1	3.5
2017-07-16	5.3	5.2	76.8	2.5	5.0
2017-07-17	4.9	4.7	77.9	3.3	6.6
2017-07-20	9.2	8.9	57.0	4.3	8.0
2017-07-21	10.1	9.8	54.5	3.4	6.5
2017-07-22	8.5	8.2	64.2	3.5	6.4
2017-07-23	7.5	7.4	72.7	4.0	9.3
2017-07-24	8.4	8.1	70.9	2.8	7.2
2017-07-25	9.0	8.8	69.5	4.2	9.1
2017-07-26	5.3	5.1	81.0	3.6	6.9
2017-07-27	4.6	4.4	84.0	1.7	4.0
2017-07-28	5.5	5.3	77.3	2.4	5.8
2017-07-29	7.2	7.1	67.1	3.9	7.7
2017-07-30	8.4	8.3	52.0	4.3	8.6
2017-07-31	10.7	10.4	44.3	4.6	8.6
2017-08-05	9.0	8.7	49.1	3.7	5.6
2017-08-06	9.4	9.1	52.6	3.7	5.9
2017-08-07	9.8	9.5	53.7	4.1	6.4
2017-08-08	9.7	9.4	54.3	3.9	6.0
2017-08-09	11.2	10.9	51.8	3.7	6.5
2017-08-10	10.9	10.5	50.7	3.0	5.9
2017-08-11	10.7	10.4	50.9	3.1	6.1
2017-08-12	8.8	8.6	62.6	3.0	5.1
2017-08-13	7.0	6.7	78.0	1.8	3.8
2017-08-14	8.3	8.0	61.8	3.8	6.2
2017-08-15	8.2	7.8	57.7	3.7	5.5
2017-08-16	9.0	8.7	52.5	3.8	5.7
2017-08-17	8.0	7.8	67.0	3.4	5.6
2017-08-18	5.5	5.3	81.9	2.4	4.7
2017-08-19	5.8	5.7	78.5	3.1	6.5
2017-08-20	5.5	5.3	74.6	2.3	4.6
2017-08-21	4.9	4.8	82.9	2.7	6.0
