ID (Stake (ablation measurement p...)	Longitude	Latitude	Comment (snow-to-ice date)	Melt rate [mm w.e./day] (counted from cm of melted sno...)	Date/Time (end measurement period)	Date/Time (end measurement period)	Establishment [a AD] (installation)
6	42.74929	43.20407	2007-07-07	394	2007-06-12	2007-06-21	2007
6	42.74929	43.20407	2007-07-07	35	2007-06-21	2007-06-22	2007
6	42.74929	43.20407	2007-07-07	336	2007-06-22	2007-06-29	2007
6	42.74929	43.20407	2007-07-07	228	2007-06-29	2007-07-04	2007
6	42.74929	43.20407	2007-07-07	439	2007-07-04	2007-07-10	2007
6	42.74929	43.20407	2007-07-07	2553	2007-07-10	2007-07-27	2007
6	42.74929	43.20407	2007-07-07	2009	2007-07-27	2007-08-17	2007
6	42.74929	43.20407	2007-07-07	1957	2007-08-17	2007-09-10	2007
6	42.74929	43.20407	2007-07-07	31	2007-09-10	2007-09-12	2007
6	42.74929	43.20407	2007-07-07	475	2007-09-12	2007-09-25	2007
6	42.74929	43.20407	2007-07-07	260	2007-09-25	2007-10-05	2007
6	42.74929	43.20407	2007-07-07	121	2007-10-05	2007-10-09	2007
7	42.74814	43.20396	2007-07-02	351	2007-06-12	2007-06-18	2007
7	42.74814	43.20396	2007-07-02	77	2007-06-18	2007-06-20	2007
7	42.74814	43.20396	2007-07-02	77	2007-06-20	2007-06-21	2007
7	42.74814	43.20396	2007-07-02	738	2007-06-21	2007-07-02	2007
7	42.74814	43.20396	2007-07-02	1170	2007-07-02	2007-07-10	2007
7	42.74814	43.20396	2007-07-02	2847	2007-07-10	2007-07-27	2007
7	42.74814	43.20396	2007-07-02	2148	2007-07-27	2007-08-17	2007
7	42.74814	43.20396	2007-07-02	1966	2007-08-17	2007-09-10	2007
7	42.74814	43.20396	2007-07-02	990	2007-09-10	2007-10-09	2007
8	42.74961	43.20317	2007-07-11	301	2007-06-12	2007-06-18	2007
8	42.74961	43.20317	2007-07-11	33	2007-06-18	2007-06-20	2007
8	42.74961	43.20317	2007-07-11	53	2007-06-20	2007-06-21	2007
8	42.74961	43.20317	2007-07-11	218	2007-06-21	2007-06-26	2007
8	42.74961	43.20317	2007-07-11	258	2007-06-26	2007-07-02	2007
8	42.74961	43.20317	2007-07-11	220	2007-07-02	2007-07-05	2007
8	42.74961	43.20317	2007-07-11	345	2007-07-05	2007-07-10	2007
8	42.74961	43.20317	2007-07-11	310	2007-07-10	2007-07-13	2007
8	42.74961	43.20317	2007-07-11	1347	2007-07-13	2007-07-27	2007
8	42.74961	43.20317	2007-07-11	947	2007-07-27	2007-08-07	2007
8	42.74961	43.20317	2007-07-11	633	2007-08-07	2007-08-17	2007
8	42.74961	43.20317	2007-07-11	300	2007-08-17	2007-08-22	2007
8	42.74961	43.20317	2007-07-11	240	2007-08-22	2007-08-27	2007
8	42.74961	43.20317	2007-07-11	598	2007-08-27	2007-09-06	2007
8	42.74961	43.20317	2007-07-11	258	2007-09-06	2007-09-10	2007
